TITLES
S&S Hotels and Suites Fresh Graduate & Exp. Job Recruitment (5 Positions) - UPDATED | Hot Nigerian Jobs.
HNJobs (Recap): Top Internship Job Opportunities Last Week! | Hot Nigerian Jobs.
BBC World Service Graduate Reporter Recruitment | Hot Nigerian Jobs.
Magazine Reporter at a Reputable Company  | Hot Nigerian Jobs.
Public Relation Officer (PRO) at Annuciation Specialist Hospital | Hot Nigerian Jobs.
Marketers at Lapresbon International Company - Natiowide  | Hot Nigerian Jobs.
Magazine Editor at a Reputable Company  | Hot Nigerian Jobs.
Finance and Risk Officer at Sightsavers Nigeria  | Hot Nigerian Jobs.
FHI 360  Fresh Graduate & Exp. Job Recruitment (22 Positions) | Hot Nigerian Jobs.
Electricians at Nampak Nigeria Limited | Hot Nigerian Jobs.
Programme Officer - Trachoma (Sokoto) at Sightsavers Nigeria - 2 Positions | Hot Nigerian Jobs.
Flour Mills of Nigeria Plc Fresh Job Recruitment (21 Positions) - UPDATED | Hot Nigerian Jobs.
Programme Officer (Eye Health) at Sightsavers Nigeria  | Hot Nigerian Jobs.
Procter & Gamble Plant Technician Internship Programme 2017 | Hot Nigerian Jobs.
Hobark International Limited (HIL) Fresh Job Recruitment (20 Positions) | Hot Nigerian Jobs.
Annuciation Specialist Hospital Fresh Job Recruitment (5 Positions) | Hot Nigerian Jobs.
Office of the High Commissioner For Human Rights (OHCHR) Fresh Job Recruitment (3 Positions) | Hot Nigerian Jobs.
Salesmen (Male & Female) at a Fast Growing Brewery Distribution Company | Hot Nigerian Jobs.
Nigerian Defence Academy (NDA) Admission into 70th Regular Course 2018 | Hot Nigerian Jobs.
Care Vision Support Initiative Fresh Job Recruitment (6 Positions) | Hot Nigerian Jobs.
Rivers State Civil Service Commission Latest Graduate Job Recruitment (19 Positions) | Hot Nigerian Jobs.
Coordinator Technical Manager (S, F & E) at Sightsavers Nigeria | Hot Nigerian Jobs.
Store Executive at Swift Networks Limited | Hot Nigerian Jobs.
Mechanical Engineer at a Reputable Mechanical Engineering Firm | Hot Nigerian Jobs.
Staff Clinic Nurse at Nampak Nigeria Limited | Hot Nigerian Jobs.
International Rescue Committee (IRC) Fresh Job Recruitment (11 Positions) - UPDATED | Hot Nigerian Jobs.
News: Independent National Electoral Commission (INEC) to Recruit One Million Ad Hoc Workers | Hot Nigerian Jobs.
Distributors at All Queen's Kitchen Limited - Nationwide | Hot Nigerian Jobs.
Drury Industries Limited Fresh Job Recruitment (30 Positions) | Hot Nigerian Jobs.
Chelis Education Consult Limited Fresh Job Recruitment (5 Positions) | Hot Nigerian Jobs.
Finance and Support Services Officer (Eye Health) at Sightsavers Nigeria  | Hot Nigerian Jobs.
Peen Nigeria Limited Fresh Job Recruitment (5 Positions) | Hot Nigerian Jobs.
Technical Trainee Recruitment at British American Tobacco Nigeria (BATN) - 24 Positions | Hot Nigerian Jobs.
Guinness Nigeria Plc Marketing Manager Recruitment | Hot Nigerian Jobs.
Security Liaison Officer at Medecins du Monde | Hot Nigerian Jobs.
Internet Marketer at Meritabode Nigeria Limited | Hot Nigerian Jobs.
Psychosocial Support Counsellor at Medecins Du Monde | Hot Nigerian Jobs.
Quality Management System (QMS) Adviser at Visionscape Group | Hot Nigerian Jobs.
Student Counsellor at PFL Education | Hot Nigerian Jobs.
Sales Executive at IL Bagno Nigeria - 3 Positions | Hot Nigerian Jobs.
Purchasing Coordinator at Kranite Nigeria Limited | Hot Nigerian Jobs.
Cloud Plaftorm Representative (General Business) at Oracle Nigeria | Hot Nigerian Jobs.
Senior Technical Sales Officer at TL First Group | Hot Nigerian Jobs.
Social Media Specialist at Lisse Africa | Hot Nigerian Jobs.
Account Officer (Debt Recovery) at Kloverharris Limited | Hot Nigerian Jobs.
Nurse Anaesthetist at Abuja Clinics | Hot Nigerian Jobs.
Service Specialist at ABB Nigeria Limited | Hot Nigerian Jobs.
UI/UX Web Designer at Exolve Technologies Limited | Hot Nigerian Jobs.
Dairy and Livestock Specialist (DLS) at Sahel Capital Partners & Advisory Limited | Hot Nigerian Jobs.
Driver to the MD at Boch Systems Company Limited (BOCH) | Hot Nigerian Jobs.
Web Developer at Simeon's Pivot Resources | Hot Nigerian Jobs.
British High Commission (BHC) Graduate Project Support Officer Recruitment | Hot Nigerian Jobs.
Learning & Development Officer at a Reputable Training Institute | Hot Nigerian Jobs.
Programme Officer - mHealth at Sightsavers Nigeria | Hot Nigerian Jobs.
Pastry Chef at a Well Established 150 Bedroom Hotel Resort | Hot Nigerian Jobs.
Manager, VAS Support at MTN Nigeria | Hot Nigerian Jobs.
Fan Milk Plc Argon Welder Recruitment | Hot Nigerian Jobs.
Accounting Manager at Grupo Omnilife-Chivas Nigeria | Hot Nigerian Jobs.
Sponsoring Partner at a Fast Developing Company | Hot Nigerian Jobs.
Graduate Account Officer at Audacious Business Concept Limited | Hot Nigerian Jobs.
Graduate Account Executive at Ideashouse Marketing Communications Limited | Hot Nigerian Jobs.
St. Basil Hospital Fresh Graduate & Exp. Job Recruitment (26 Positions) | Hot Nigerian Jobs.
International Human Resource Management (HRM) Training; Customer Service Professional Training, Certification & Membership - November 2017 | Hotnigerianjobs.
Federal Medical Centre, Owerri Fresh Graduate and Mid-level Job Recruitment (5 Positions) | Hot Nigerian Jobs.
Coronation Merchant Bank Graduate Trainee Programme 2018 | Hot Nigerian Jobs.
Google Business Internship Programme 2018 | Hot Nigerian Jobs.
Marketing/Operations Executive at St. Basil Hospital | Hot Nigerian Jobs.
Cashier at St. Basil Hospital | Hot Nigerian Jobs.
Operations Controller at St. Basil Hospital | Hot Nigerian Jobs.
Medical Officers at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Radiology) at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Urology) at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Dermatology) at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Obstetrics & Gynecology) at St. Basil Hospital | Hot Nigerian Jobs.
University of Uyo Combined 22nd and 23rd Convocation Ceremonies Progamme 2017 | Hot Nigerian Jobs.
Consultants (Pediatrics) at St. Basil Hospital | Hot Nigerian Jobs.
Caterer at Erisco Foods Limited | Hot Nigerian Jobs.
Unit Supervisor at AIICO Insurance Plc | Hot Nigerian Jobs.
Experienced Nurse and Midwife at an Ultra-modem Specialist Hospital | Hot Nigerian Jobs.
Sales Executive at Kofo Agro  | Hot Nigerian Jobs.
Technicians at Sumal Foods Limited | Hot Nigerian Jobs.
Mechanics at Sumal Foods Limited | Hot Nigerian Jobs.
Electricians at Sumal Foods Limited | Hot Nigerian Jobs.
Agents at Boton Electric Nigeria Fze. | Hot Nigerian Jobs.
Security Coordinators at a Reputable Security Company - Lagos, Abuja and Rivers | Hot Nigerian Jobs.
Relationship Officer at the Nigerian Stock Exchange (NSE) | Hot Nigerian Jobs.
Distributors Needed at Kofo Agro  | Hot Nigerian Jobs.
Housekeepers at St. Basil Hospital | Hot Nigerian Jobs.
Receptionists at St. Basil Hospital | Hot Nigerian Jobs.
Consultants (Surgery) at St. Basil Hospital | Hot Nigerian Jobs.
Chief Medical Officer (Consultant) at St. Basil Hospital | Hot Nigerian Jobs.
Field Advisor at Hobark International Limited (HIL) | Hot Nigerian Jobs.
Unilever Nigeria Plc Recruitment for Fixed Assets Accountant | Hot Nigerian Jobs.
Administrative Coordinator (M/F) at Secours Islamique France (SIF) | Hot Nigerian Jobs.
Consultant Paediatricians at South Shore Women's and Children's Hospital | Hot Nigerian Jobs.
Entry-level Procurement Officer at South Shore Women's and Children's Hospital | Hot Nigerian Jobs.
Sales and Marketing Team Lead at a Reputable Property Developers and Marketing Company - Perfecmix Solutions | Hot Nigerian Jobs.
Personal Assistant to MD at a Financial Servicing Company - Perfecmix Solutions | Hot Nigerian Jobs.
Supply Chain/Inventory Supervisor at FlexEdge Limited | Hot Nigerian Jobs.
Security Personnel at Dreamfield Farm Resorts | Hot Nigerian Jobs.
Senior Technical Advisor at the United Nations Development Programme (UNDP) - 2 Positions | Hot Nigerian Jobs.
Electrical Engineer at an Internationally Reputed Civil Engineering Company - ValueFronteira Limited | Hot Nigerian Jobs.
Construction Manager - Power Plant at Hobark International Limited (HIL) | Hot Nigerian Jobs.
Field Sales Representative at Workforce Group - 12 Positions | Hot Nigerian Jobs.
Entry-level Training Assistant at the International NGO Safety Organisation (INSO) | Hot Nigerian Jobs.
Registered Nurses at Ladkem Eye Hospital | Hot Nigerian Jobs.
Graduate I.T Associate at Rescue Technologies Limited | Hot Nigerian Jobs.
Mathematics/ Furthermaths Teacher at a Model Muslim College | Hot Nigerian Jobs.
Marketing Manager at Romanspage Global | Hot Nigerian Jobs.
Surveillance Officer (TUB) at the World Health Organization (WHO) - 7 Positions | Hot Nigerian Jobs.
Test Automation Engineer at Tezza Business Solutions Limited | Hot Nigerian Jobs.
House Keeper Manager at Westown Hotels | Hot Nigerian Jobs.
Registered Nurse/Registered Midwife (Double Qualified) at South Shore Women's and Children's Hospital | Hot Nigerian Jobs.
Registered Nurse (Single Qualified) at South Shore Women's and Children's Hospital | Hot Nigerian Jobs.
Financial Advisor at ARM Life Plc | Hot Nigerian Jobs.
Construction Assistant at Kranite Nigeria Limited | Hot Nigerian Jobs.
Audio Visual Technician (Contract) at Hilton Worldwide | Hot Nigerian Jobs.
Facilities Plumber (Contract) at Hilton Worldwide | Hot Nigerian Jobs.
Graduate Marketing Executive at Transsion Holdings | Hot Nigerian Jobs.
Online Charging System Engineer (OCS) at MacTay Group | Hot Nigerian Jobs.
South Shore Women's and Children's Hospital Entry-level & Exp. Job Recruitment (4 Positions) | Hot Nigerian Jobs.
Case Worker Supervisor at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Nutrition and Hygiene Promoter at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Psychosocial Animator at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Nutrition Officer at COOPI Cooperazione Internazionale | Hot Nigerian Jobs.
Client Relationship Management Executive at Dragnet Solutions Limited | Hot Nigerian Jobs.
Account Manager at a Reputable Company | Hot Nigerian Jobs.
Head, Rooms Division (Expatriate) at Nicole Sinclair Consulting | Hot Nigerian Jobs.
Process Artisan - Packaging at SABmiller Plc | Hot Nigerian Jobs.
COOPI Cooperazione Internazionale Entry-level & Exp. Job Recruitment (13 Positions) - UPDATED | Hot Nigerian Jobs.
Marketers at Veralyssa Limited | Hot Nigerian Jobs.
United Nations Development Programme (UNDP) Fresh Job Recruitment (6 Positions) - UPDATED | Hot Nigerian Jobs.
First Bank of Nigeria Limited Recruitment for Graduate PHP Developer Intern | Hot Nigerian Jobs.
Graduate Pharmacy Intern at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Graduate Pharmacy Intern at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
First Bank of Nigeria Limited Graduate Web Designer Recruitment  | Hot Nigerian Jobs.
First Bank of Nigeria Limited Graduate Content Writer Recruitment  | Hot Nigerian Jobs.
Graduate Dental House Officers (Internship) at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
Policy, Research and Influencing Manager at Plan International - Abuja and Kaduna | Hot Nigerian Jobs.
Graduate Radiography Intern at the 44 Nigerian Army Reference Hospital, Kaduna (44 NARHK) | Hot Nigerian Jobs.
Graduate Physiotherapy Intern at the 68 Nigerian Army Reference Hospital, Yaba (68 NARHY) | Hot Nigerian Jobs.
Graduate Dental House Officers (Internship) at the Military Hospital, Lagos (MHI) | Hot Nigerian Jobs.
